video_id,channel_name,category
5CSUimZjiI0,VisualPolitikEN,culture
j1FK_yj1J30,VisualPolitikEN,culture
psm60IUjrEI,VisualPolitikEN,culture
DI3VqTkbuRA,VisualPolitikEN,culture
1fKhUyF0xbM,VisualPolitikEN,culture
syp5sk8lrOo,VisualPolitikEN,culture
g7E4os06SAA,VisualPolitikEN,culture
ejjKbpXn1S0,VisualPolitikEN,culture
LdMoYYeW9g8,ConanOBrien,talk show
7CfYpZCHJQw,ConanOBrien,talk show
J_sH-GrUeUw,ConanOBrien,talk show
lJEBgB3j9eo,ConanOBrien,talk show
RWf2P9pdoBI,ConanOBrien,talk show
_q471WB5Tgw,ConanOBrien,talk show
T0F7K-gKZ_k,ConanOBrien,talk show
qqbBTwWLUWA,ConanOBrien,talk show
Gx1B0Fkc51U,ConanOBrien,talk show
mwOB_pVNI1c,ConanOBrien,talk show
wnDxHTaeNX0,baldandbankrupt,travel
91w4GkdGfVA,baldandbankrupt,travel
madplgRfebo,baldandbankrupt,travel
y2Nba4MMBAU,baldandbankrupt,travel
q37qWA2cL5w,baldandbankrupt,travel
9I61plMS2Yg,baldandbankrupt,travel
hzBxFH_hEwA,baldandbankrupt,travel
2bNzjBJF_G0,baldandbankrupt,travel
cgV8q0rwUzs,baldandbankrupt,travel
oaletsYICyI,baldandbankrupt,travel
HbuZlTBpC7I,IndigoTraveller,travel
ZHB-KlPBwzA,IndigoTraveller,travel
8NTIY8Qy2f0,IndigoTraveller,travel
2ZrYwuxThFA,IndigoTraveller,travel
GM9Ax72RpWM,IndigoTraveller,travel
5Rtsav021Rs,IndigoTraveller,travel
_ch7hYh4BtA,IndigoTraveller,travel
5xVWkcg1T0Y,IndigoTraveller,travel
Glx7AmJW_FY,IndigoTraveller,travel
V2kolF4yo-Q,IndigoTraveller,travel
RNQvmCnz1xM,AlJazeeraEnglish,news
OrH6UMYAVsk,AlJazeeraEnglish,news
Ol2LGO7Nl6c,AlJazeeraEnglish,news
ZlRObEeuuJM,AlJazeeraEnglish,news
CIayu9QVrBk,AlJazeeraEnglish,news
PHVGL1BDXXU,AlJazeeraEnglish,news
xnaAcMcC_N8,AlJazeeraEnglish,news
OREmRD7qK48,AlJazeeraEnglish,news
